127.0.0.1, 2018-01-29 23:35:28, GET, /admin/default/edit/simpleNN/views/layout.html, HTTP/1.1, 200, 0.149074
127.0.0.1, 2018-01-29 23:35:29, GET, /admin/default/edit/simpleNN/views/layout.html, HTTP/1.1, 200, 0.054857
127.0.0.1, 2018-01-29 23:35:29, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.080932
127.0.0.1, 2018-01-29 23:35:30, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.162737
127.0.0.1, 2018-01-29 23:35:31, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.990573
127.0.0.1, 2018-01-29 23:35:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.317851
127.0.0.1, 2018-01-29 23:35:34, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 4.615865
127.0.0.1, 2018-01-29 23:36:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.027156
127.0.0.1, 2018-01-29 23:36:32, GET, /admin/default/edit/simpleNN/controllers/default.py, HTTP/1.1, 200, 0.975652
127.0.0.1, 2018-01-29 23:36:34, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 1.778901
127.0.0.1, 2018-01-29 23:36:35, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 4.637387
127.0.0.1, 2018-01-29 23:37:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.015557
127.0.0.1, 2018-01-29 23:37:34, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 3.655982
127.0.0.1, 2018-01-29 23:37:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.995794
127.0.0.1, 2018-01-29 23:37:48, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001182
127.0.0.1, 2018-01-29 23:37:48, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.006736
127.0.0.1, 2018-01-29 23:37:48, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001717
